Sample,CDH3,COMP,MMP13,CXCL14,PDGFD,DIO2,IGLC3,IGHG2,RP11-731F5.2,IGHGP
Norm1,68.0090578441956,7.88510815584877,1.97127703896219,12.8133007532542,43.3680948571682,34.4973481818384,46.3250104156115,29.5691555844329,5.91383111688658,2.95691555844329
Norm2,90.2840571212405,5.37405101912146,4.29924081529717,5.37405101912146,41.9175979491474,27.9450652994316,219.261281580155,304.171287682274,62.3389918218089,17.1969632611887
Norm3,271.537010398429,10.202257616126,12.5566247583089,71.4158033128817,52.5808661754184,46.302553796264,367.281274180535,418.292562261164,109.870466635203,15.6957809478861
Norm4,71.9420186396439,18.3525557754194,0.734102231016774,15.4161468513523,46.2484405540568,8.80922677220129,332.548310650599,182.791455523177,49.1848494781239,16.150249082369
Norm5,40.1239338346327,11.6488840165063,9.06024312394931,12.9432044627847,25.8864089255695,51.7728178511389,86.7194699006577,240.743603007796,72.4819449915945,19.4148066941771
Norm6,295.891252851361,42.4018617793227,5.53067762338992,16.5920328701698,53.4632170261026,23.9662697013563,201.869733253732,279.299219981191,70.9770295001707,8.29601643508489
Norm8,53.8112301464391,8.12244983342478,9.13775606260287,7.10714360424668,35.5357180212334,53.8112301464391,73.102048500823,67.0102111257544,15.2295934376715,17.2602058960276
IPF1,195.316832801279,26.2365894807688,10.2031181314101,85.9977099647422,386.260900689096,96.2008280961523,4487.91438951595,3703.73188170186,1071.32740379806,26.2365894807688
IPF2,479.906746016322,166.738201288522,110.08996623537,489.526257629121,464.943061285301,327.063394835177,2433.73643803823,7611.17135497156,2292.65026771717,277.897002147536
IPF3,972.738447391894,202.803403238531,104.991142384549,769.935044153363,195.624521707964,152.551232524559,8729.51994117006,3057.30617183043,998.761892940201,184.856199412113
IPF4,678.533260654831,253.306891106992,83.2163432878567,383.160965248483,163.689290643147,249.64902986357,1102.84516489181,4346.45362249651,1100.10176895925,161.860360021435
IPF5,724.447915182007,168.042042181393,121.986075065011,567.608675812706,185.468624333538,322.391769814673,1349.31536092319,2816.88252930736,522.797464564335,728.182182786038
IPF6,333.327397552599,158.256331182243,102.866615268458,362.011357579381,159.245433252132,357.065847229936,4932.65202253654,4983.09622810088,1271.98526187728,856.56239252389
IPF7,176.771212288023,44.4291282221234,5.67180360282426,69.9522444348325,245.778156122385,203.239629101203,1097.49399714649,4633.86354350742,1509.64505895172,7.56240480376568
IPF8,518.698907755569,292.246287260512,29.8366628354973,67.3237520390709,145.358100993448,194.320829749136,2549.88710847981,1142.97369939059,283.065775618821,112.461267610721
