company_name,company_country_code,company_city,company_market,investor_name,investor_country_code,investor_city,funded_at,funded_month,funded_year,raised_amount_usd,company_name_lower,unicorn_flag
Flipkart,IND,Bangalore,Online Shopping,Accel Partners,USA,Palo Alto,10/01/2009 00:00,2009-10,2009,1000000,flipkart,TRUE
Avito.ru,ROM,Rus,Advertising,Accel Partners,USA,Palo Alto,05/01/2012 00:00,2012-05,2012,75000000,avito.ru,TRUE
BlaBlaCar,,,Peer-to-Peer,Accel Partners,USA,Palo Alto,01/16/2012 00:00,2012-01,2012,10000000,blablacar,TRUE
Tango,USA,Mountain View,Messaging,Access BridgeGap Ventures,,,04/19/2012 00:00,2012-04,2012,38097364,tango,TRUE
Lazada Group,MYS,Kuala Lumpur,E-Commerce,Access Industries,USA,New York,12/09/2013 00:00,2013-12,2013,250000000,lazadagroup,TRUE
Bloom Energy,USA,Sunnyvale,Clean Technology,Advanced Equities,USA,Chicago,09/15/2011 00:00,2011-09,2011,150000000,bloomenergy,TRUE
Good Technology,USA,Sunnyvale,Data Security,Advanced Equities,USA,Chicago,03/15/2005 00:00,2005-03,2005,95000000,goodtechnology,TRUE
Actifio,USA,Waltham,Enterprise Software,Advanced Technology Ventures,USA,Palo Alto,09/22/2010 00:00,2010-09,2010,16000000,actifio,TRUE
Actifio,USA,Waltham,Enterprise Software,Advanced Technology Ventures,USA,Palo Alto,12/05/2011 00:00,2011-12,2011,33500000,actifio,TRUE
Farfetch,USA,Cerritos,Fashion,Advent Venture Partners,GBR,London,07/09/2010 00:00,2010-07,2010,4500000,farfetch,TRUE
Farfetch,USA,Cerritos,Fashion,Advent Venture Partners,GBR,London,01/15/2012 00:00,2012-01,2012,18000000,farfetch,TRUE
Farfetch,USA,Cerritos,Fashion,Advent Venture Partners,GBR,London,03/03/2013 00:00,2013-03,2013,20000000,farfetch,TRUE
Lyft,USA,San Francisco,Transportation,AFSquare,USA,Culver City,09/21/2011 00:00,2011-09,2011,6000000,lyft,TRUE
Spotify,SWE,Stockholm,Entertainment,AFSquare,USA,Culver City,11/15/2012 00:00,2012-11,2012,100000000,spotify,TRUE
Dropbox,USA,San Francisco,Storage,AFSquare,USA,Culver City,10/18/2011 00:00,2011-10,2011,250000000,dropbox,TRUE
Wish,USA,San Francisco,Curated Web,AFSquare,USA,Culver City,10/21/2010 00:00,2010-10,2010,1700000,wish,TRUE
Quixey,USA,Mountain View,Search,Alibaba,CHN,Hangzhou,10/03/2013 00:00,2013-10,2013,50000000,quixey,TRUE
Fanatics,USA,Jacksonville,E-Commerce,Alibaba,CHN,Hangzhou,06/06/2013 00:00,2013-06,2013,170000000,fanatics,TRUE
Evernote,USA,Redwood City,Software,Allen & Company,USA,New York,05/03/2012 00:00,2012-05,2012,70000000,evernote,TRUE
Vox Media,USA,Washington,Sports,Allen & Company,USA,New York,01/15/2009 00:00,2009-01,2009,5000000,voxmedia,TRUE
