investor_name,investor_market,investor_country_code,raised_amount_usd
101 Startups,Finance,ESP,2495275.0
10Xelerator,Finance,USA,140000.0
1stMover,Design,DEU,130277.0
212 Limited,Investment Management,TUR,9000000.0
21212,Technology,BRA,50000.0
21st Century Fox,Media,USA,70000000.0
23Seed,Finance,CHN,164473.0
3D Systems,Software,USA,600000.0
3M,Automotive,USA,14000000.0
500 Startups,Finance,USA,259818886.0
50TresDigital,Startups,ESP,195780.0
56CUBE,Automotive,ITA,373114.0
7-Eleven,Curated Web,USA,820000.0
A. Soriano Corporation,Finance,PHL,53000000.0
ABRY Partners,None,USA,200000000.0
AFSquare,Finance,USA,38605000.0
AKQA,Advertising,USA,2500000.0
AMD,Hardware + Software,USA,6351930.0
AOL Ventures,Venture Capital,USA,63750000.0
ARM,Semiconductors,GBR,10000000.0
ARPA-E,Search,USA,3200000.0
AT&T,Mobile,USA,400000.0
ATP Innovations,Business Development,AUS,4500000.0
AVG Technologies,Software,USA,300000.0
AbbVie,Pharmaceuticals,USA,81500000.0
Accel Partners,Venture Capital,USA,1537483601.0
Acceleprise Ventures,Enterprises,USA,5280000.0
Accelerace,Industrial,DNK,4467500.0
AcceleratorHK,Startups,HKG,15000.0
Accenture,Business Services,USA,56000000.0
Accion,Nonprofits,USA,4100000.0
Accion Labs,Software,USA,2600000.0
Active Venture Partners,Venture Capital,ESP,21700860.0
ActiveCloud,Cloud Computing,RUS,750000.0
Adara Ventures,Venture Capital,LUX,26500000.0
Adcash,Advertising,EST,231588.0
Adobe Systems,Photo Editing,USA,15000000.0
Adtoma,Advertising,SWE,250000.0
Advance Publications,Public Relations,USA,52049997.0
Advanced Laser Materials (ALM),Manufacturing,USA,1753219.0
Agave Lab,iPhone,MEX,50000.0
Agilent Technologies,Biotechnology,USA,21000000.0
Air Liquide,Services,FRA,11500000.0
Alchemist Accelerator,Services,USA,4345000.0
Alibaba,E-Commerce,CHN,1245000000.0
Alkermes,Biotechnology,USA,38000000.0
Allen & Company,Finance,USA,211600000.0
Allos Ventures,Software,USA,24800000.0
Almaz Capital,Venture Capital,USA,34000000.0
AlphaLab,Finance,USA,50000.0
Alsop Louie Partners,Venture Capital,USA,22000000.0
Alt Option Return,Finance,USA,2000000.0
Alto Invest,Finance,FRA,45952000.0
Amadeus,Cars,ESP,2000000.0
Amazon,Consumer Goods,USA,116950000.0
American Electric Power,Clean Energy,USA,20000000.0
American Express,Finance,USA,212800000.0
Amgen,Biotechnology,USA,81132700.0
Amiti Ventures,Venture Capital,USA,10000000.0
Amplify.LA,Finance,USA,8150000.0
Amí©rica Mí_vil,Mobile,MEX,100000000.0
Andreessen Horowitz,Venture Capital,USA,1744389637.0
Angel Street Capital,Consulting,USA,5228967.0
AngelCube,Startups,AUS,40000.0
AngelList,Recruiting,USA,15000000.0
AngelPad,Product Design,USA,26716488.0
Ann Arbor SPARK,Non Profit,USA,1022820.0
ArcView Group,None,USA,150000.0
Arch Grants,Finance,USA,350000.0
Archant,Advertising,GBR,909150.0
Archetype,Consulting,JPN,2000000.0
Archimedes Labs,Mobile,USA,620000.0
Ardent Capital,Advertising,THA,1215000.0
Artesian Capital Management,Angels,AUS,264223.0
Artesian Solutions,Utilities,USA,649400.0
Arthur Ventures,Venture Capital,USA,61025000.0
Aslanoba Capital,Investment Management,TUR,6530000.0
Associated Bank,Financial Services,USA,10640000.0
AstraZeneca,Health and Wellness,GBR,25000000.0
Atheros Communications,Semiconductors,USA,35000000.0
Atlas Venture,Technology,USA,311456500.0
Atom Factory,Games,USA,3300000.0
AutoScout24,Public Transportation,ESP,850000.0
Autobytel.com,Software,USA,2500000.0
Autodesk,Software,USA,13937704.0
Avonmore Developments,Finance,GBR,3000000.0
Axel Springer Plug and Play Accelerator,Startups,DEU,452475.0
Axon Partners Group,Venture Capital,ESP,3636647.0
BDMI,Finance,USA,3200000.0
BLACKSTONE ASIA,Business Intelligence,USA,1200000.0
BLOMASA,Maps,NOR,514640.0
BRICOLAGE,Fashion,KOR,800000.0
BSB,Finance,USA,7000000.0
BSkyB,Software,GBR,60350000.0
Baidu,Search,CHN,127137554.0
Baird Capital,Financial Services,GBR,76925000.0
Bantam Group,Finance,USA,360000.0
Barracuda Networks,Communications Hardware,USA,25000.0
Basekit,Curated Web,GBR,5603526.0
Battery Ventures,Technology,USA,617571511.0
Baxter International,Medical,USA,58319300.0
Be Great Partners,Startups,USA,250000.0
Beamonte Investments,Credit,USA,1200000.0
Bedrocket Media Ventures,Digital Entertainment,USA,5800000.0
Beehive Holdings,Finance,CAN,1000000.0
Benchmark Capital,Finance,USA,515000.0
Bertelsmann,Business Services,DEU,78000000.0
Betaspring,Incubators,USA,2339000.0
Big Issue Invest,Finance,GBR,40124.0
Bill & Melinda Gates Foundation,Biotechnology,USA,35320000.0
Biotechnology and Biological Sciences Research Council (BBSRC),Biotechnology,GBR,5303380.0
Bit Angels,Angels,USA,650000.0
Bizdom,None,USA,1540000.0
Black Ocean,Curated Web,USA,1100000.0
BlackRock,Finance,USA,120000000.0
Blackstone Group,Investment Management,USA,797000000.0
Blackwood Holdings Group LLC,Finance,USA,575000.0
Bloomberg Beta,Venture Capital,USA,11000000.0
Blue Startups,Venture Capital,USA,1625000.0
Blue Water Angels,Finance,USA,1710000.0
Bluescape,Productivity Software,USA,7500000.0
Blume Ventures,Mobile,IND,5430405.0
Bolt Ventures,Finance,BRA,1250000.0
Bolt.io,Finance,USA,100000.0
Bon Angels,Finance,RUS,350000.0
Bonial International Group,Retail Technology,DEU,1400000.0
BoomStartup,Consulting,USA,1225000.0
Boost VC,None,USA,60000.0
Bosch,None,JPN,11000000.0
Boston Scientific,Business Services,USA,87694151.0
BoxGroup,Venture Capital,USA,238255000.0
Bpifrance,None,FRA,117475540.0
Breakaway Innovation Group,Venture Capital,USA,6700000.0
Bright Horizons Family Solutions,Education,USA,4500000.0
Brightcove,Technology,JPN,7200000.0
Brightstar,Wireless,USA,2700000.0
Brightstone Venture Capital,Venture Capital,USA,5510000.0
Broadfin Capital,Finance,USA,68500000.0
Brooklyn Incubator,Startups,USA,700000.0
BufferBox,E-Commerce,USA,2400000.0
Business Growth Center,Finance,USA,300000.0
BusinessInFact,Business Services,ESP,406340.0
"CIIE, IIM Ahmedabad",Incubators,IND,60000.0
CIT Group,Financial Services,CAN,183700000.0
CIVETA INVESTMENTS,Startups,ESP,1483731.0
CS Networks,SMS,GBR,6564500.0
CUBRC,Health and Wellness,USA,1100000.0
Cabiedes & Partners,Investment Management,ESP,8701957.0
Cabot Technology Solutions,Consulting,CAN,250000.0
Caixa Capital Risc,Finance,ESP,17829650.0
Cambia Health Solutions,Biotechnology,USA,30098491.0
Canaan Partners,Venture Capital,USA,422529634.0
CapDecisif Management,Software,FRA,13000000.0
Capital Angel Network,Venture Capital,CAN,2000000.0
Capital Innovators,Startups,USA,865000.0
Capital One,Finance,USA,60000000.0
Capital Southwest Corporation,Venture Capital,USA,10000000.0
Capnamic Ventures,Venture Capital,DEU,4300000.0
Carefusion,Health and Wellness,USA,100000000.0
Carlyle Group,Investment Management,USA,500000000.0
Carmel Ventures,Venture Capital,ISR,111900000.0
Cars.com,E-Commerce,USA,13000000.0
Celgene,Biotechnology,USA,198100000.0
CenturyLink,Public Relations,USA,29500000.0
Cherrystone Angel Group,Venture Capital,USA,12705000.0
China Growth Capital,Venture Capital,CHN,10489396.0
CircleUp,Venture Capital,USA,2590000.0
Cisco,Software,USA,147500000.0
Citrix Systems,Software,USA,25000000.0
Clairvest Group,Finance,CAN,43500000.0
Coed Media Group,Colleges,USA,260000.0
Collider,B2B,GBR,1364056.0
Columbia Business School,Education,USA,370000.0
Comcast,Web Hosting,USA,6000000.0
Comerica Bank,Investment Management,USA,44000000.0
Communitech HYPERDRIVE,Finance,CAN,120088.0
Companisto,Finance,DEU,203282.0
Compass,None,GBR,5000000.0
CompuCredit,Finance,USA,20000000.0
Concur Technologies,Software,USA,32300000.0
Condí© Nast,News,USA,71007906.0
Confluence Capital,Enterprise Software,USA,915000.0
ConocoPhillips,Oil,USA,81534690.0
CoolhouseLabs,Curated Web,USA,25000.0
Corning,Utilities,USA,60000000.0
Corporate Executive Board(CEB),Consulting,USA,4100000.0
Costanoa Venture Capital,Venture Capital,USA,74800000.0
Creative Artists Agency,Games,USA,2300000.0
Creaturk,Software,TUR,50000000.0
Credo Ventures,Venture Capital,CZE,2687320.0
Crestlight Ventures,Industrial,USA,992250.0
Crocs,Shoes,USA,2000000.0
Crowdcube,Crowdfunding,GBR,3723384.0
CrunchFund,Finance,USA,438707579.0
Ctrip,Business Services,CHN,60000000.0
Cue Ball,Big Data,USA,24800000.0
Curious Minds,Incubators,USA,530000.0
Curious Pictures,Games,USA,660000.0
CyberAgent Ventures,Venture Capital,JPN,31543144.0
D2M - Direct 2 Manufacturer,Logistics,USA,600000.0
DAG Ventures,Finance,USA,423360614.0
DCU Ryan Academy for Entrepreneurship,None,IRL,104594.0
DG Incubation,Incubators,JPN,14300000.0
DST Global,Software,GBR,57000000.0
DaVita,Biotechnology,USA,12000000.0
Dainippon Sumitomo,Biotechnology,JPN,29167989.0
Dealguru,E-Commerce,SGP,800000.0
Deciens Capital,Venture Capital,USA,2520000.0
Delivery Hero,Hospitality,DEU,5000000.0
Dell,Hardware + Software,USA,61600000.0
Dessinka,Venture Capital,GBR,1000000.0
Deutsche Bank,Banking,DEU,367000000.0
Deutsche Boerse,Finance,DEU,20000000.0
Deutsche Telekom,Enterprise Software,DEU,89000000.0
Dialog Semiconductor,Semiconductors,DEU,9600000.0
Digital Magics,Startups,ITA,849156.0
Digital Realty Trust,Finance,USA,72000000.0
Discovery Alliance LLC,Finance,USA,425000.0
Dorm Room Fund,Finance,USA,1640000.0
Dotnamekorea,Web Hosting,RUS,36519.0
Double M Partners,Social Fundraising,USA,22900000.0
Draper Fisher Jurvetson (DFJ),Venture Capital,USA,830288422.0
DreamIt Ventures,Finance,USA,4066666.0
Duke University,Education,USA,5000.0
Dundee Venture Capital,E-Commerce,USA,14625000.0
E-Synergy,Finance,GBR,508000.0
EC1 Capital Ltd,Venture Capital,GBR,1818301.0
EMC,Enterprise Software,USA,150000000.0
EMC Ventures,Venture Capital,USA,25000000.0
Earlybird Venture Capital,Venture Capital,DEU,75600265.0
East West Bancorp,Finance,USA,50000000.0
Eastlabs,Finance,UKR,20000.0
Edison Partners,Venture Capital,USA,31500000.0
Edwards Lifesciences,Biotechnology,USA,3000000.0
Eix Technova,Angels,ESP,385980.0
El Paso Corporation,Clean Energy,USA,635000.0
Elevate Ventures,Finance,USA,3462360.0
Elevator Fund,Startups,ISR,30000.0
Eleven,Startups,BGR,4041274.0
Eli Lilly,Biotechnology,USA,26000000.0
EnCana,Enterprise Software,CAN,16000000.0
Enbridge,Clean Technology,CAN,43000000.0
Endemol,News,GBR,13000000.0
Enhanced Capital Partners,Finance,USA,2800000.0
Enterprise Ireland,Enterprises,IRL,31917286.0
Enterprise Partners Venture Capital (EPVC),Venture Capital,USA,22.0
Entree Capital,Venture Capital,GBR,23250000.0
Entrepreneurs Roundtable Accelerator,Internet,USA,2400000.0
